time,pontos,previsao_rebaixamento,risco_queda,chance_campeao,chance_libertadores
São Paulo,16,0,0.0%,39.31%,99.93%
Palmeiras,13,0,9.25%,71.15%,72.87%
Fluminense,13,0,9.25%,71.15%,72.87%
Bahia,11,0,20.82%,49.7%,61.09%
Flamengo,10,0,38.14%,69.75%,64.32%
Coritiba,10,0,38.14%,69.75%,64.32%
Grêmio,8,1,57.25%,8.63%,40.8%
Corinthians,8,1,57.25%,8.63%,40.8%
Red Bull Bragantino,8,1,57.25%,8.63%,40.8%
Athletico Paranaense,7,1,57.6%,15.76%,50.14%
Vitória,7,1,57.6%,15.76%,50.14%
Chapecoense,6,1,73.88%,0.0%,21.22%
Mirassol,6,1,73.88%,0.0%,21.22%
Santos,6,1,73.88%,0.0%,21.22%
Vasco da Gama,5,1,64.24%,0.0%,21.59%
Atlético Mineiro,5,1,64.24%,0.0%,21.59%
Botafogo,3,1,76.39%,0.0%,0.0%
Remo,3,1,76.39%,0.0%,0.0%
Cruzeiro,3,1,76.39%,0.0%,0.0%
Internacional,2,1,82.12%,0.0%,0.0%
